station_id,n_pairs,bias,rmse,mae,correlation,obs_mean,model_mean,obs_std,model_std,std_ratio,synnr,name,lon,lat,alt
11007,9142.0,-0.4080228961872769,1.2431671502974673,0.9250312899274404,0.8318803001753375,2.6756617807919496,2.2676388846046724,2.0885723893343107,1.5488878743841814,0.7416012402988136,11007,KOLLERSCHLAG,13.839167,48.602779,714.0
11019,9139.0,0.19861911503610938,1.0610114791557863,0.7968590229631062,0.8040160987218741,2.7206258890469415,2.919245004083051,1.4998516182915742,1.7453002756721567,1.163648626562249,11019,ALLENTSTEIG,15.366943,48.690834,599.0
11030,9141.0,-0.7511032867771199,1.6620693326508305,1.2072558368324822,0.8464036258476371,3.3434306968603,2.59232741008318,2.651572490317519,1.7922312210788809,0.6759125868228728,11030,LANGENLEBARN,16.118055,48.323887,175.0
11032,8388.0,1.051074230068878,1.5505128088787337,1.2208635821044942,0.8117945609798258,2.194134477825465,3.245208707894343,1.5216507510410064,1.9492695340550146,1.2810229500570098,11032,POYSDORF-OST,16.637499,48.669167,198.0
11034,9096.0,-0.2508071025378884,1.0366024590042902,0.7928231505255264,0.8517481394399096,3.2626099384344767,3.0118028358965883,1.8655045002529778,1.826139687486064,0.9788985699248779,11034,WIEN-INNERE_STADT,16.366943,48.198334,177.0
11035,9142.0,-0.42962398429449505,1.1850984823268293,0.8783506079783304,0.8351639156503394,3.204003500328156,2.774379516033661,2.005727237008249,1.6209187489288652,0.8081451550444289,11035,WIEN-HOHE_WARTE,16.356388,48.248611,198.0
11040,9140.0,-0.15759058759773978,1.1896109693729773,0.8677301861435436,0.8659910099524989,3.6555251641137856,3.497934576516046,2.3299160628378974,2.199039252989101,0.9438276717619668,11040,WIEN-UNTERLAA,16.419443,48.125,200.0
11045,9142.0,1.5402050674430257,1.987031590126505,1.6350822187219327,0.796216220963084,2.0353642528987095,3.5755693203417347,1.3899661034191897,2.0388466073686096,1.4668318906146223,11045,WOLKERSDORF,16.5075,48.380276,185.0
11049,9141.0,0.06833346896268856,0.9491951905014858,0.7029067464680631,0.7448669156062662,1.8378623782955914,1.9061958472582798,1.2912734560363552,1.3542881465879248,1.0488004227586287,11049,MATTIGHOFEN,13.151111,48.097221,460.0
11066,9141.0,-3.6311988710621517,4.3812572184808065,3.6903624710722576,0.7912595760104051,6.468362323596981,2.8371634525348295,3.676721259997227,1.931890919563812,0.5254385042953377,11066,BUCHBERG,15.945,48.213612,460.0
11068,9143.0,0.914319529850698,1.3766377992169214,1.0237677031281913,0.6056684734917385,0.8749425790222028,1.7892621088729008,0.8278886928345405,1.2921092375548693,1.5607282098888462,11068,FREISTADT,14.506389,48.49472,539.0
11070,9127.0,0.7449806296117331,1.2993072693451846,0.9870904140249491,0.7405924023473665,1.5475950476607867,2.2925756772725197,1.2264311268904684,1.5821198402956982,1.2900193134424547,11070,KREMS,15.621388,48.418331,203.0
11082,9141.0,-0.11450702573762962,1.6277692546079312,1.1451999308574226,0.7697190013415515,3.170561207745323,3.056054182007694,2.534797278972784,1.816756764944358,0.7167266510876921,11082,GUMPOLDSKIRCHEN,16.280832,48.035831,212.0
11100,9142.0,-0.2984089278991922,1.1420808330479837,0.8673293990818358,0.6480022039273905,2.1265040472544303,1.828095119355238,1.306814848422851,1.32077875835449,1.0106854539864554,11100,SULZBERG,9.914444,47.521942,1016.0
11111,9139.0,0.4590183564576005,1.2002554386063038,0.9529700109698241,0.6199902029503439,1.40439873071452,1.8634170871721207,1.3543930286642212,1.1569616667920972,0.8542288998143752,11111,TANNHEIM,10.505834,47.500278,1100.0
11124,9142.0,-2.2126517122526645,3.3146240500119664,2.6557003627627602,0.4358732387915131,4.8306606869394,2.618008974686736,2.637776400956059,1.8242239861821596,0.6915764298751674,11124,VALLUGA,10.212778,47.157501,2805.0
11137,6679.0,-0.007999241302412625,1.0681406994822908,0.7767488789982699,0.5575455382447906,1.4672406048809703,1.4592413635785575,1.1385901456365557,1.1322736093691168,0.9944523178145833,11137,MARIA_ALM,12.898333,47.406113,792.0
11153,9095.0,0.22124650474666419,1.3980792411860905,0.9791033337091379,0.4745340070591861,1.6108301264431006,1.8320766311897647,1.2639016197050532,1.41704360378475,1.1211660636335243,11153,MONDSEE,13.347222,47.850834,481.0
11167,8945.0,0.2868018524555303,1.1605854751139113,0.8286796184457201,0.3331609275419667,0.9655226383454443,1.2523244908009747,1.0743759316200567,0.8463464723904758,0.7877563592794431,11167,HALL_ADMONT,14.490833,47.594444,637.0
11170,9059.0,0.9557072860926008,1.3831915185386925,1.067407462052723,0.591419079666213,0.8738381719836626,1.8295454580762633,0.9063962800250949,1.2184444945446373,1.3442734942721775,11170,LUNZ_AM_SEE,15.067499,47.854443,612.0
11190,9142.0,-0.5475556439966016,1.450477694668854,1.1182595640887898,0.7367206184249054,3.317906366221833,2.7703507222252317,1.9801597050873048,1.564677080894354,0.790177214935988,11190,EISENSTADT-NORDOST,16.538334,47.854168,184.0
11194,9144.0,1.1785487012585263,1.9466233309555545,1.4757137982341384,0.7036791296295322,2.5511045494313205,3.7296532506898474,1.705027331904897,2.165581126597719,1.270115197612862,11194,NEUSIEDL,16.841667,47.950833,148.0
11200,9089.0,0.0789755434621671,1.314479434899249,0.9867118947339084,0.3759201281496409,1.4239190229948289,1.502894566456996,1.2901098096602117,1.0257551170993149,0.7950913243342267,11200,KALS,12.646389,47.004723,1352.0
