elevation_band,n_stations,bias,rmse,correlation
0-500 m,19,-0.04564442627032878,3.4004337814351104,0.9465066663096888
500-1000 m,20,-1.212017622248066,3.3692867153543156,0.9458783155000605
1000-1500 m,7,-2.6660721704568853,4.764525248786933,0.9276231300509864
1500-2500 m,3,-0.4000895359669901,4.844371688214245,0.8786671680724846
2500-4000 m,2,-4.897851405408607,9.627183981530953,0.7203094943616466
