elevation_band,n_stations,bias,rmse,correlation
0-500 m,20,0.10590836125253586,1.5184608326328892,0.7073994076475578
500-1000 m,20,0.07403002026282683,1.208537112985764,0.5201211760240564
1000-1500 m,7,0.21689947504931517,1.2312156338497313,0.4422226907792451
1500-2500 m,3,-0.9238107665688933,2.439947363304412,0.505071038695654
2500-4000 m,2,-0.6935217612103959,2.8788689613311718,0.41355910873852975
