station_id,n_pairs,bias,rmse,mae,correlation,obs_mean,model_mean,obs_std,model_std,std_ratio,synnr,name,lon,lat,alt
11007,9141.0,-0.34812683936699773,2.7677260374900285,2.119772448517329,0.9494045518834443,8.306771687999124,7.958644848632128,7.701807121196974,8.611568358667222,1.118123087627889,11007,KOLLERSCHLAG,13.839167,48.602779,714.0
11019,9139.0,-0.3589767442855956,2.658374866599483,2.0099144248515097,0.9505755179362183,8.713053944632893,8.354077200347298,7.68950847669996,8.421994174706692,1.095257804868314,11019,ALLENTSTEIG,15.366943,48.690834,599.0
11030,9141.0,0.49658809122304176,2.9358507496106294,2.048904961558893,0.9598750289132374,11.334361667213653,11.830949758436695,8.059713264241923,9.543041192006818,1.1840422703802496,11030,LANGENLEBARN,16.118055,48.323887,175.0
11032,9141.0,0.10883556218327532,2.8479237670306112,2.005184582504836,0.9622623574972342,11.006662290777815,11.11549785296109,8.179543112524422,9.644122643985932,1.1790539534193496,11032,POYSDORF-OST,16.637499,48.669167,198.0
11034,9097.0,0.9312987666305075,5.857710279821186,4.066194188908778,0.8927972075689308,12.889798834780697,13.821097601411205,7.882135159325589,11.602107546920369,1.4719498349623668,11034,WIEN-INNERE_STADT,16.366943,48.198334,177.0
11035,9144.0,1.454957794581811,4.9368416890373235,3.189311044849164,0.9297522175806686,11.832031933508311,13.286989728090122,7.8615786618113885,11.034537816138815,1.4036033080404673,11035,WIEN-HOHE_WARTE,16.356388,48.248611,198.0
11040,9140.0,-0.10338172149167638,3.150083435453592,2.39224123457258,0.9427270051506195,11.666192560175055,11.562810838683378,8.108905695995789,9.255734749575902,1.1414283377529502,11040,WIEN-UNTERLAA,16.419443,48.125,200.0
11045,9142.0,0.39740519037806893,3.3502064870994936,2.309440710216537,0.9544071402743471,11.303369065849923,11.700774256227993,8.232215081825945,10.099032726885776,1.2267697851069461,11045,WOLKERSDORF,16.5075,48.380276,185.0
11049,9141.0,-0.3685962954401316,2.9572333724593154,2.301210375748376,0.9499465065268936,9.821299638989169,9.452703343549038,7.8354692646681485,9.06103892274718,1.1564130515584299,11049,MATTIGHOFEN,13.151111,48.097221,460.0
11066,9141.0,0.09388824449081948,3.2258369632666977,2.481266204686955,0.9262725792819257,10.232753528060387,10.326641772551207,7.691299309387846,8.537008075407618,1.1099565537629665,11066,BUCHBERG,15.945,48.213612,460.0
